date,channel,game,title_or_topic,target_url,status,risk_level,owner_notes,result_url,metrics_notes
"2026-08-01","owned_site_update","Rust","Rust armored door raid cost","/pages/rust-armored-door-raid-cost.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-02","owned_site_update","Rust","Rust armored wall raid cost","/pages/rust-armored-wall-raid-cost.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-03","owned_site_update","Rust","Rust boom crafting order","/pages/rust-boom-crafting-order.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-04","owned_site_update","Rust","Rust C4 vs rockets: speed, sulfur, and splash compared","/pages/rust-c4-vs-rockets.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-05","owned_site_update","Rust","Rust cheapest raid method by target","/pages/rust-cheapest-raid-method.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-06","owned_site_update","Rust","Rust compound bow raid plan","/pages/rust-compound-bow-raid-plan.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-07","owned_site_update","Rust","Rust counter raid escape plan","/pages/rust-counter-raid-escape-plan.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-08","owned_site_update","Rust","Rust duo raid comms checklist","/pages/rust-duo-raid-comms-checklist.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-09","owned_site_update","Rust","Rust duo raid roles checklist","/pages/rust-duo-raid-roles.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-10","owned_site_update","Rust","Rust explosive ammo door path","/pages/rust-explosive-ammo-door-path.html","planned","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-11","owned_site_update","Rust","Rust high external wall raid cost","/pages/rust-high-external-wall-raid-cost.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-12","owned_site_update","Rust","Rust honeycomb raid decision","/pages/rust-honeycomb-raid-decision.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-13","owned_site_update","Rust","Rust ladder hatch raid cost","/pages/rust-ladder-hatch-raid-cost.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-14","owned_site_update","Rust","Rust online vs offline raid cost: plan the risk, not just the boom","/pages/rust-online-vs-offline-raid-cost.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-15","owned_site_update","Rust","Rust raid buffer calculator guide","/pages/rust-raid-buffer-calculator-guide.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-16","owned_site_update","Rust","Rust raid break-even calculator: was the raid worth it?","/pages/rust-raid-profit-calculator-outline.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-17","owned_site_update","Rust","Rust rocket splash basics","/pages/rust-rocket-splash-basics.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-18","owned_site_update","Rust","Rust satchel raid risk checklist","/pages/rust-satchel-raid-risk-checklist.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-19","owned_site_update","Rust","Rust sealing after raid checklist","/pages/rust-sealing-after-raid-checklist.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-20","owned_site_update","Rust","Rust sheet metal wall raid cost","/pages/rust-sheet-metal-wall-raid-cost.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-21","owned_site_update","Rust","Rust door path vs wall path for a small base","/pages/rust-small-base-raid-path.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-22","owned_site_update","Rust","Rust solo raid checklist","/pages/rust-solo-raid-checklist.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-23","owned_site_update","Rust","Rust solo sulfur farming target","/pages/rust-solo-sulfur-farming-target.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-24","owned_site_update","Rust","Rust sulfur to gunpowder conversion","/pages/rust-sulfur-to-gunpowder-conversion.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-25","owned_site_update","Rust","Rust TC upkeep weekly sheet","/pages/rust-tc-upkeep-weekly-sheet.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-26","owned_site_update","Rust","Rust turret compound raid prep","/pages/rust-turret-compound-raid-prep.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-27","owned_site_update","Rust","Rust weekly upkeep buffer","/pages/rust-weekly-upkeep-buffer.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-28","owned_site_update","Rust","Why did my Rust base decay?","/pages/rust-why-did-my-base-decay.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-29","owned_site_update","Rust","Rust wipe day base upgrade order","/pages/rust-wipe-day-upgrade-order.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
"2026-08-30","owned_site_update","Rust","Rust wooden door raid cost","/pages/rust-wooden-door-raid-cost.html","backlog","green","Improve short answer, FAQ-style headings, source note, and internal links.","",""
