id,game,intent_type,risk_level,problem,answer_asset,conversion_path,refresh_trigger,status
"geo_0001","Rust","tool_or_scorecard","green","How much does it cost to raid an armored door?","/pages/rust-armored-door-raid-cost.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0002","Rust","tool_or_scorecard","green","How much does it cost to raid an armored wall?","/pages/rust-armored-wall-raid-cost.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0003","Rust","definition","green","What boom should I craft first?","/pages/rust-boom-crafting-order.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0004","Rust","tool_or_scorecard","green","Should I use C4 or rockets?","/pages/rust-c4-vs-rockets.html","future Rust raid-prep credits or worksheet pack after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0005","Rust","tool_or_scorecard","green","Which raid method is cheapest for each target?","/pages/rust-cheapest-raid-method.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0006","Rust","definition","green","Can I raid early without full boom?","/pages/rust-compound-bow-raid-plan.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0007","Rust","definition","green","How do I avoid losing a raid to counters?","/pages/rust-counter-raid-escape-plan.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0008","Rust","checklist","green","What should a duo call out during a raid?","/pages/rust-duo-raid-comms-checklist.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0009","Rust","checklist","green","How should two players split roles during a raid?","/pages/rust-duo-raid-roles.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0010","Rust","definition","green","Should I use explosive ammo through a door path?","/pages/rust-explosive-ammo-door-path.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0011","Rust","tool_or_scorecard","green","Should I raid through a high external wall?","/pages/rust-high-external-wall-raid-cost.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0012","Rust","definition","green","Should I raid through honeycomb?","/pages/rust-honeycomb-raid-decision.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0013","Rust","tool_or_scorecard","green","How much does a ladder hatch cost to raid?","/pages/rust-ladder-hatch-raid-cost.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0014","Rust","tool_or_scorecard","green","How much extra boom should I bring for an online raid?","/pages/rust-online-vs-offline-raid-cost.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0015","Rust","tool_or_scorecard","green","How much extra boom should I bring?","/pages/rust-raid-buffer-calculator-guide.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0016","Rust","tool_or_scorecard","green","Was the raid worth it?","/pages/rust-raid-profit-calculator-outline.html","future Rust raid-prep credits or worksheet pack after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0017","Rust","comparison","green","When are rockets better than cheaper direct damage?","/pages/rust-rocket-splash-basics.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0018","Rust","troubleshooting","green","When are satchels worth using?","/pages/rust-satchel-raid-risk-checklist.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0019","Rust","checklist","green","What should I bring to seal a raid?","/pages/rust-sealing-after-raid-checklist.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0020","Rust","tool_or_scorecard","green","How much does it cost to raid a sheet metal wall?","/pages/rust-sheet-metal-wall-raid-cost.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0021","Rust","tool_or_scorecard","green","Should I raid the doors or the wall of a small Rust base?","/pages/rust-small-base-raid-path.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0022","Rust","tool_or_scorecard","green","What should a solo player check before starting a raid?","/pages/rust-solo-raid-checklist.html","future Rust raid-prep credits or worksheet pack after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0023","Rust","tool_or_scorecard","green","How much sulfur should a solo farm before raiding?","/pages/rust-solo-sulfur-farming-target.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0024","Rust","tool_or_scorecard","green","How much gunpowder do I need for my sulfur target?","/pages/rust-sulfur-to-gunpowder-conversion.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0025","Rust","definition","green","How much upkeep should I farm for the week?","/pages/rust-tc-upkeep-weekly-sheet.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0026","Rust","checklist","green","How should I prepare for a turret compound raid?","/pages/rust-turret-compound-raid-prep.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0027","Rust","troubleshooting","green","How many days of upkeep should I keep?","/pages/rust-weekly-upkeep-buffer.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0028","Rust","troubleshooting","green","Why did my base start decaying even though I thought it had upkeep?","/pages/rust-why-did-my-base-decay.html","future Rust raid-prep credits or worksheet pack after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0029","Rust","troubleshooting","green","What should I upgrade first on wipe day?","/pages/rust-wipe-day-upgrade-order.html","future Rust raid-prep credits or worksheet pack after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0030","Rust","tool_or_scorecard","green","What is the cheapest way to break a wooden door?","/pages/rust-wooden-door-raid-cost.html","future Rust raid-prep credits or worksheet pack after checkout is ready","Rust patch, item damage change, upkeep change, or wipe-meta shift","owned_page_ready"
"geo_0031","Rust","tool_or_scorecard","green","Should I raid fast or use the most sulfur-efficient method?","/pages/rust-fast-vs-efficient-raiding.html","future Rust raid-prep credits or worksheet pack after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0032","Rust","tool_or_scorecard","green","Why would anyone raid a base that appears to cost 100 rockets?","/pages/rust-100-rocket-base-worth-raiding.html","future Rust raid-prep credits or worksheet pack after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0033","POE2","checklist","green","How many boss attempts should I budget?","/pages/poe2-boss-attempt-budget.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0034","POE2","checklist","green","What should I check before attempting a POE2 boss?","/pages/poe2-boss-prep-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0035","POE2","definition","green","Is this POE2 budget build actually cheap?","/pages/poe2-budget-build-red-flags.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0036","POE2","troubleshooting","green","Should I abandon my POE2 build?","/pages/poe2-build-switch-decision.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
